# DEBUG Waiting for a keypress.
        14.27200 ms     000001be ticks
       106.14400 ms     00000cf5 ticks
       229.82400 ms     00001c0e ticks
       101.44000 ms     00000c62 ticks
        56.35200 ms     000006e1 ticks
       124.06400 ms     00000f25 ticks
        70.97600 ms     000008aa ticks
       112.76800 ms     00000dc4 ticks
       250.75200 ms     00001e9c ticks
       117.28000 ms     00000e51 ticks
        81.40800 ms     000009f0 ticks
       103.71200 ms     00000ca9 ticks
       106.49600 ms     00000d00 ticks
        95.45600 ms     00000ba7 ticks
        11.74400 ms     0000016f ticks
       129.28000 ms     00000fc8 ticks
        81.44000 ms     000009f1 ticks
        83.29600 ms     00000a2b ticks
        45.69600 ms     00000594 ticks
        44.57600 ms     00000571 ticks
        23.55200 ms     000002e0 ticks
       128.19200 ms     00000fa6 ticks
        21.28000 ms     00000299 ticks
       117.47200 ms     00000e57 ticks
       125.34400 ms     00000f4d ticks
       124.06400 ms     00000f25 ticks
        77.24800 ms     0000096e ticks
       112.73600 ms     00000dc3 ticks
       568.35200 ms     00004561 ticks
       246.17600 ms     00001e0d ticks
       123.87200 ms     00000f1f ticks
        44.60800 ms     00000572 ticks
       426.27200 ms     00003409 ticks
        85.56800 ms     00000a72 ticks
       102.33600 ms     00000c7e ticks
       121.34400 ms     00000ed0 ticks
        14.30400 ms     000001bf ticks
       108.41600 ms     00000d3c ticks
       302.97600 ms     000024fc ticks
       121.82400 ms     00000edf ticks
       146.20800 ms     000011d9 ticks
       132.48000 ms     0000102c ticks
         9.66400 ms     0000012e ticks
       158.46400 ms     00001358 ticks
        57.79200 ms     0000070e ticks
        58.04800 ms     00000716 ticks
       344.80000 ms     00002a17 ticks
       142.17600 ms     0000115b ticks
        47.93600 ms     000005da ticks
       151.20000 ms     00001275 ticks
        70.11200 ms     0000088f ticks
        60.51200 ms     00000763 ticks
        23.55200 ms     000002e0 ticks
        94.30400 ms     00000b83 ticks
        93.95200 ms     00000b78 ticks
       105.92000 ms     00000cee ticks
        23.68000 ms     000002e4 ticks
        99.26400 ms     00000c1e ticks
